id,title,text,date,source,classification
70e74f2b49aa241e1264a79a9959dec6,Eight seriously injured after bus collided with stationary truck in Goregaon,"Mumbai: At least eight people were seriously injured after a bus collided with a stationary truck on Sewri-Dindoshi route early on Friday. The BEST bus and truck accident on Western Express Highway near Vanrai Police Station, five passengers injured in Mumbai.(Satish Bate/ HT Photo)

The injured included the driver and conductor of the bus, which belonged to Brihanmumbai Electric Supply and Transport (BEST),

Know the latest trending news with HT. Read detailed articles here

BEST spokesperson Sudas Sawant said, “When the bus arrived near Vanrai police station in Goregaon, a private car suddenly came in front of the bus from the service road. The bus driver lost control of the vehicle and hit a stationary truck parked on the left side of the road.”

There were fewer passengers in the bus since it was early morning.

The left portion on the front side of the bus was severely damaged. The injured were taken to Jogeshwari Trauma Care hospital for primary treatment.

The injured passengers were identified as Ashraf Sahid Husen (66), Sitaram Gaikwad (60) Bharti Mandavkar (56), Sudhakar Rewale (57), Pochiya Naresh Kanpochi (30) and Amit Yadav (35).",2025-07-11T12:19:24+05:30,Times of India,1
8c0e1f9c64b2b402b85411d10da6bc9f,Two people die in separate road accidents in Parel and Malad,"MUMBAI: Two people lost their lives in separate accidents in Parel and Malad on Friday. The tempo driver in the first incident and a car driver in the second were both booked for causing death by negligence. Two people die in separate road accidents in Parel and Malad

According to the police, the first accident took place on the Hindmata Bridge in Parel. Harsh Yadav, 21, a college student and resident of Hari Om Nagar in Powai, picked up his friend and neighbour Vijay Yadav, 30, in his scooter. “They left on a Honda Activa Lalbaug to buy accessories for their Ganpati idol. When they reached the flyover around 2.30 pm, a speeding tempo tried to overtake them from the left.” The tempo collided with the scooter, causing it to skid to a halt.

Know the latest trending news with HT. Read detailed articles here

The tempo dragged for some distance the scooter with Harsh and Yadav before they fell on the road.

Vijay suffered serious injuries to his head and began losing blood on the spot. Harsh, also injured, tried to hail vehicles to help them get to the hospital. Many cars did not stop for a long time and by the time one finally did, it was too late. “Dr Priyanka Patil at the KEM hospital examined Vijay at the accident ward and declared him dead before arrival,” said a police officer. The Bhoiwada police registered a case against the unidentified tempo driver under sections 106 (causing death by negligence) and 281 (rash driving or riding on a public way) of the Bharatiya Nyaya Sanhita (BNS), 2023 and relevant sections of the Motor Vehicles Act at the Bhoiwada police station.

In the second incident, Brijesh Gupta, a 45-year-old sweeper, was working at the Auris Serenity building in Kanchpada, Malad, when a car knocked him down. “Prima facie, it looked like the driver accidentally pressed the accelerator and hit the sweeper due to the resultant jerk,” said a police officer. The driver took Gupta to a nearby hospital. The building’s watchman later dropped Gupta off at his house in Laljipada, where he breathed his last.

The accused driver was identified as Ashok Gupta. The Malad police booked Ashok under section 106 (causing death by negligence) of the BNS.",2025-06-29T07:12:15+05:30,Times of India,1
ce6c0829cbde23886d3e483083781082,Driver killed as taxi falls into Mandi gorge,"A 20-year-old taxi driver was killed after his vehicle fell into a 200-metre gorge near Sarachi in Seraj area of Himachal’s Mandi district on Tuesday, police said. Mangled remains of the car after the accident in Mandi on Tuesday. (Birbal Sharma/HT)

The deceased was identified as Bhupendra Kumar, a resident of Dhar Jarol village in Janjheli, Thunag tehsil in Mandi. According to reports, the incident occurred around 1 am when Singh was returning home after dropping off passengers in Pandoh.

Know the latest trending news with HT. Read detailed articles here

According to the information available, Bhupendra had gone to Pandoh on Monday to drop off a passenger. While returning via Kalhani, he lost control over the vehicle, which led to the mishap.

After hearing the crash sound, locals rushed to the site. However, by the time they reached the vehicle and pulled the victim out, he was dead.

Police later sent the body for a postmortem, after which it was handed over to the family. A probe was launched to determine the exact cause of the accident, police said.",2025-05-21T09:10:09+05:30,Times of India,1
c181bac97c9f69453b3ae39c952e711e,Five dead as car plunges into dry riverbed near Khed,"Mumbai: Five persons were killed and two others were injured when their speeding car plunged into a dry riverbed in Ratnagiri district in the early hours on Monday. The group was on its way to Devrukh in Ratnagiri to attend a funeral. Local residents and the police rescued the passengers from the mangled vehicle (Screengrab from video)

According to the police, the group of seven passengers from two families left for Ratnagiri from the Indraprasth building in Poonam Sagar complex in Mira Road around 11.30pm on Sunday. They were travelling in a seven-seater car via the Mumbai-Goa highway. Between 5am and 5.30am on Monday, while the car was crossing the Jugbudi river bridge near Khed, it went out of control and crashed into the side wall before plunging into the gap between two carriageways of the bridge.

Know the latest trending news with HT. Read detailed articles here

Local residents and the police rescued the passengers from the mangled vehicle and rushed them to the hospital where five persons were declared dead on arrival. They were identified as Megha Paradkar, 42, Saurav Paradkar, 22, Mitali More, 45, Nihar More, 19 and Shreyas Sawant, 25.

Parmesh Paradkar, 51, who was driving the car, sustained severe injuries and is under treatment while Vivek Shriram More, 47, suffered minor injuries. The latter told the police that they were travelling to Devrukh to attend the last rites of his father-in-law.

“We have registered a case of accidental death (ADR) and are investigating the matter,” said an officer from the Khed police station.

Win exciting prizes daily View T&C Back Q. Which Indian city has the best quality of living? Delhi Mumbai Bengaluru Please wait a moment.

Ranvir Bajpai, a neighbour of the deceased and a Bhartiya Janta Party (BJP) leader, said the entire housing complex in Mira Road was saddened by the sudden deaths. Parmesh Paradkar, who was driving the car, was a resident of Nalasopara and a family friend of the Mores who reside in the Indraprasth building, he said.

“On Sunday night, Parmesh Paradkar, his wife Megha and relative Saurav had picked up the Mores from their residence and set out for Ratnagiri,” said Bajpai. “After we heard the news of their accident, we informed the relatives of the Mores in Ratnagiri. They visited the spot and arranged to bring the bodies of the deceased to Mira Road.”

The last rites of the five deceased would be performed in Mira Road on Monday night, he said.

Meanwhile, in videos of the accident circulating on social media, local engaged in rescue efforts are heard saying that at least 14 accidents had occurred at the same spot on the bridge in the past one year due to a flaw in design. When speeding vehicles pass the spot, they tend to bounce due to which drivers lose balance and plunge into the gap between two carriageways which is not visible from a distance, the locals are heard saying.

“After seeing the videos, we have sent letters to the concerned authorities to rectify the blackspot and avoid more loss of lives,” said Bajpai.

Vaibhav Khedekar, a Maharashtra Navnirman Sena (MNS) leader from Khed, told HT that he had participated in a protest against frequent accidents at the spot in 2019.

“When some civic officials visited the protest site, we explained to them what the problem was in detail. But since they were unwilling to acknowledge it, we tied up one the officials,” said Khedekar. He was imprisoned for a month and a half later for tying up the civic official and released after he moved the high court, he said.

Dhananjay Kulkarni, Superintendent of Police in Ratnagiri, said the entire stretch of road near the accident spot was accident prone.

“We installed blinkers and radium lights along the route today. We also barricaded the sides of the bridge with concrete blocks which will serve as early warning for speeding drivers speeding,” he said.",2025-05-20T06:16:14+05:30,Times of India,1
8e997270ee1356f8bfd87a1849bdf939,Speeding truck mows down people assisting accident victims in Rajasthan,"Four people assisting victims of a road accident were killed and eight others injured when a speeding truck hit them in Dungarpur district of Rajasthan, police said on Sunday. The injured were rushed to a hospital at Sagwara in Dungarpur, where four people were declared dead.(Representative Image)

The incident occurred under Sabla police station limits at around 11.30 pm on Saturday, they said.

Know the latest trending news with HT. Read detailed articles here

According to Sabla Station House Officer (SHO) Raghuveer Singh, a jeep carrying a family returning from a wedding veered off the road near the Pindawal Hilawadi bus stand on Saturday night, leaving some of the passengers with minor injuries.

Locals gathered at the accident site. While they were shifting the injured into an ambulance, a speeding truck first rammed into an electricity pole before hitting some of the people.

""During the rescue efforts, a speeding truck lost control and hit the people standing nearby. The impact of the accident was severe. Three motorcycles were trapped beneath the truck,"" SHO Singh said.

The injured were rushed to a hospital at Sagwara in Dungarpur, where four people were declared dead.

The deceased have been identified as Luvji Patidar, Dayalal Patidar, Savita Patidar and Bhavesh Patidar. They were returning from a wedding ceremony and had stopped to help the jeep accident victims, the SHO said.",2025-05-18T15:08:54+05:30,Times of India,1
f8ba2448d432d7e98893dd14d11bab24,Accident near University of Delaware shuts down East Main Street in Newark,"An accident near University of Delaware in Newark shut down the busy East Main Street, starting at the South Chapel Street intersection, on Tuesday. In response, drivers have been asked to avoid the area and seek alternate routes. An accident near University of Delaware in Newark shut down the busy East Main Street.(UnSplash)

“The City of Newark is advising motorists of a road closure in the area of East Main Street starting at South Chapel Street. Motorists are encouraged to avoid the area and seek alternate routes,” Newark Delaware Police Department said in a statement.

Know the latest trending news with HT. Read detailed articles here

The incident took place around 4:30 p.m. According to CBS News, multiple people were struck by a car near the University of Delaware's campus. The collision site was near several downtown businesses, including a Chipotle and a Five Guys.

This is a breaking news story and will be updated with more information",2025-04-30T03:14:46+05:30,Times of India,1
4cc2cd3ce527c841275301a200c5ae7f,"3 Gujarat policemen killed, cop injured in Haryana road accident","Rohtak/Bathinda: Three Gujarat Police personnel were killed and an assistant sub-inspector was injured when their SUV collided with another vehicle on the Dabwali-Chautala road in Sirsa district on Wednesday, police said. Three Gujarat Police personnel were killed and a cop was injured when their SUV collided with a vehicle on the Dabwali-Chautala road in Sirsa district on Wednesday. (HT Photo)

The victims were identified as assistant prosecution officer Sunil Kumar, sub inspector Jayender Singh and head constable Prakash Bhat, all posted at Ahmedabad city police station.

Know the latest trending news with HT. Read detailed articles here

Dabwali Sadar station house officer Braham Prakash said that the incident took place around 5.30am when the Mahindra Bolero in which the Gujarat Police team was travelling collided with another vehicle.

The three Gujarat Police personnel died on the spot, while JP Solanki, a probationary sub inspector, was rushed to All India Institute of Medical Sciences (AIIMS), Bathinda.

The SHO said CCTV cameras near the accident site are being checked to get details of the vehicle with which the Bolero collided. The FIR would be registered after recording the statement of injured policeman, who is stated to be out of danger.

“We have recovered the numberplate of a truck bearing a Punjab registration number and are verifying it with the help of Punjab Police,” he said.

The SHO said that the team of Gujarat Police was on its way to Ludhiana to investigate a case under the Protection of Children from Sexual Offences (POCSO) Act when the accident occurred in Sirsa district in the morning.",2025-03-26T13:52:59+05:30,Times of India,1
194709b33e4eb5342e90b91d0c1847ec,"10 IIT students injured as vehicle falls into gorge in Sikkim, condition of three serious","Ten students of IIT (ISM) Dhanbad were injured after their vehicle plunged into a 100-foot-deep gorge in Sikkim's Mangan district, police said on Sunday. As per police, the accident happened near Pakshep in Forest Dara around 9:30 pm on Saturday when the students were travelling from Lachung to Gangtok. (Representative image)

The accident happened near Pakshep in Forest Dara around 9:30 pm on Saturday when the students were travelling from Lachung to Gangtok, they said.

Know the latest trending news with HT. Read detailed articles here

Also read: Why are Professional Development goals important, and how can you achieve them? Harvard shares tips

The driver, who was also injured, lost control of the vehicle, resulting in the accident, they added.

Among the students were four females.

Also read: Engineering student stabbed to death another injured in Saran; two held

Three of the injured were sent to a hospital in Gangtok as their conditions were serious, while the others received treatment in Mangan.",2025-03-16T15:17:33+05:30,Times of India,1
21eeae61e7946748ad0f17a3f305453d,"Three dead, 20 injured in bus-lorry collision in Andhra Pradesh's Eluru","At least three people died, and 20 others were injured after a private travel bus collided with a lorry and overturned near Chodimellu village in Eluru. The accident occurred in the early hours of Thursday, officials confirmed. The bus, which was traveling from Hyderabad to Kakinada, reportedly lost control due to overspeeding.(Representational photo)

The bus, which was traveling from Hyderabad to Kakinada, reportedly lost control due to overspeeding and crashed into a lorry carrying cement.

Know the latest trending news with HT. Read detailed articles here

The impact of the collision led to the immediate death of three passengers, while the others suffered varying degrees of injuries.

The injured were transported to Eluru Hospital for medical treatment. Among them, the bus driver remains in critical condition.

Confirming the incident, Eluru Rural Police stated, “Three people killed and 20 injured after a private bus collided with a lorry near Chodimellu village in Eluru. The bus was en route to Kakinada from Hyderabad.”

Authorities have launched an investigation into the cause of the accident, with preliminary findings pointing to overspeeding as the primary factor. The identities of the deceased passengers are yet to be confirmed.

Another fatal accident in Andhra

In a separate incident, three more lives were lost in a lorry accident in the YSR district of Andhra Pradesh. The mishap occurred on Maddimadugu Ghat Road in Chintakomma Dinne Mandal when a lorry carrying fish feed from Bengaluru to Eluru suffered a brake failure.

Losing control, the vehicle plunged 50 feet into a valley, resulting in the death of both the driver and the cleaner. The deceased were identified as Sambayya and K Vivekananda Reddy from Kappakuntapalle in Chakrayapet mandal. While the driver was killed on the spot, the cleaner succumbed to his injuries at the hospital. The impact of the crash caused the lorry to split into three parts.

Authorities have urged motorists to exercise caution while driving, especially on high-speed highways and ghat roads. Investigations into both accidents are ongoing.",2025-03-06T10:06:43+05:30,Times of India,1
3780802e00bcb45ae089fc777f79ef61,UP: 4 members of family killed in Etah district road accident,"Four members of a family, including two children, were killed and five injured when their car fell into a canal near Jarera village, a police official said on Friday, According to a police officer on Friday, a family's automobile crashed into a canal close to Jarera hamlet, killing four of them—two of them children—and injuring five more.(Hindustan Times/representative )

The accident took place on Thursday night when the family was returning to Jalesar in Etah district from Aligarh after attending a marriage function.

Know the latest trending news with HT. Read detailed articles here

Also read: Caught on CCTV: Lucknow bike rider thrown into air after high-speed collision with car

The deceased include Bablu (45), his brother's wife Poonam (35), Poonam's daughters Kavya (3) and Bhumi (1), Superintendent of Police Chiranjeev Nath Sinha said.

The injured are being treated at the community health centre in Sikandra Rau.

The bodies of the deceased have been sent for postmortem, the SP said.",2025-02-14T11:46:04+05:30,Times of India,1
