id,title,text_snippet,ground_truth
8ca2677e2d95175cbcbe1b0064557fe9,21-yr-old dies in second accident on Ghodbunder Rd,"THANE: A 21-year-old woman returning home from work died on the spot in an accident on Ghodbunder Road. This accident comes less than 24 hours after a 32-year-old police constable died after his bike skidded while overtaking a dumper at Cadbury Junction. Thane, India - July -13, 2025: The accident spot at Nagala Bander ,On Saturday night, a 21-year-old woman riding a two-wheeler was coming from Gaimukh to Thane when her two-wheeler skidded on the",1
6d00727a1f72c906b505a42eee3abbd7,Man dies after falling from moving bus in Delhi; driver held,"A 31-year-old daily-wage labourer died after falling from the rear gate of a moving cluster bus in southwest Delhi’s Kapashera area on Saturday afternoon, police said. The driver of the bus was arrested from the spot but later released on bail. The bus was en route to Bijwasan, and the victim, identified as Shivam Kumar, originally from Kanpur, Uttar Pradesh, was also headed to the same destination.(Representational Image)  The bus was en route t",1
47c46970e1a7828280f965189fa732d4,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban","Five people were killed and another was critically injured when a private passenger vehicle skidded off the road and plunged into a 600-feet gorge in Ramban district of Jammu and Kashmir, officials said on Saturday. Jammu and Kashmir Lt Governor Manoj Sinha, chief minister Omar Abdullah and Union minister Jitendra Singh expressed grief over the accident(Representational)  The SUV met with the accident near Senabathi in Ukhral Pogal Paristan area",1
db74c9b1c6c67023a1c9ceb2580a0708,Truck topples during road inspection in Maharashtra's Beed | On video,"A Public Works Department engineer along with some other people narrowly escaped an accident as a truck that came during a road inspection toppled while crossing a muddy path in Maharashtra’s Beed. Some even jumped into the pit dug for construction so as to not get crushed under the truck, shows video. (Screengrab/X/@PTI_News)  The incident happened in Beed’s Khadki area when a team was at the spot assessing an alternative route amid ongoing brid",1
bf49a5ba773e4a2a333dcf340c98f057,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,"A truck carrying borewell machinery and labourers met with an accident, reportedly killing at least four people near Madhya Pradesh's Agrapani Chata area on Friday. Additional police personnel and ambulances have been deployed to the spot to assist the search and rescue operations.(Unsplash/ representational)  According to the police, the truck, after losing balance, went out of control and fell into a 60-foot-deep gorge, TOI reported.  Know the",1
e1a9360f7eec8a08b9266359c8fae9e0,Eight seriously injured after bus collided with stationary truck in Goregaon,"Mumbai: At least eight people were seriously injured after a bus collided with a stationary truck on Sewri-Dindoshi route early on Friday. The BEST bus and truck accident on Western Express Highway near Vanrai Police Station, five passengers injured in Mumbai.(Satish Bate/ HT Photo)  The injured included the driver and conductor of the bus, which belonged to Brihanmumbai Electric Supply and Transport (BEST),  Know the latest trending news with HT",1
f5b7fab289ea9f674d48aad351b62a53,"Car plunges off mountain near Rohtang Pass in Himachal's Kullu amid rain, 4 killed, 1 seriously injured","Four people died and one was seriously injured as their car plunged into a gorge near the Rohtang Pass in Himachal Pradesh's Kullu district amid heavy rain on Sunday. Heavy and incessant rains across Himachal Pradesh have led to many roads being blocked.(Hindustan Times)  The vehicle, which had five passengers, slipped off the road before falling down the mountain near Rahninala, deputy superintendent of police, Manali, KD Sharma said.  Know the",1
dd00823e0a48263388a4d70c6fad4bb8,Karnataka man dies after falling into fire pit during Muharram ritual,"A Karnataka man tragically died after falling into a fire pit on Sunday during Muharram celebrations in Raichur district. He was rushed to the hospital but could not be saved, said Lingasur Police. A man tragically died in Karnataka after falling into a ritual fire pit during Muharram celebrations.(HT Photo)  The 40-year-old victim, identified as Hanumanth, was preparing for the festival when he accidentally fell into the fire pit used in a key r",2
280bbc40d79bd3f9a5d2f175af591493,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief","Eight people, including a groom and two children, were killed after the SUV they were travelling in crashed into a college’s wall in Uttar Pradesh’s Sambhal district on Friday evening, police said on Saturday. The mangled remains of the vehicle that met with an accident in Uttar Pradesh’s Sambhal. (Sourced)  The accident occurred when the groom and nine others, who were accompanying him, were en route from Har Govindpur village to Sirtoul in Buda",1
304d0b902ed510c99d556e3947ac23a1,"4 killed as driver loses control, car hits divider on expressway in Maharashtra","Four persons, including two women, were killed after the car they were travelling in hit a divider on the Samruddhi Expressway in Maharashtra’s Washim district, an official said on Friday. While on the highway, the driver felt sleepy and briefly stopped the car to answer nature's call.(Representative image)  The incident occurred around 8 pm on Thursday between Wanoja and Karanja on the high-speed carriageway, he said.  Know the latest trending n",1
7f06e6fa0122f57ce7a1d6fe1394a13c,4 killed after oil-drilling ship overturns in Gulf of Suez,"An oil-drilling ship capsized in the Gulf of Suez, killing at least four crewmen and leaving four others missing, authorities said Wednesday. There were 30 workers on board when the drilling ship capsized.(AFP file)  The drilling ship overturned Tuesday evening off the city of Ras Ghareb, on the African side of the Gulf of Suez, the Red Sea’s northwestern arm and a crucial shipping route, the Petroleum Ministry said in a statement.  Know the late",2
ba4319bb1dfcd411c631d430883064d4,Bengaluru police officer killed in hit-and-run accident while transporting drug suspects,"In a shocking incident, a police sub-inspector (PSI) from the Talaghattapura station was killed in a hit-and-run accident while transporting two drug case accused on the night of June 24, 2025. The deceased has been identified as Mahboob Guddahalli, aged 40, who passed away in the early morning hours of June 29, Sunday, after a week-long battle for survival. Bengaluru hit-and-run accident: CCTV footage showed that a truck rear ended the PSI's car",1
183de4e7b05b8c77b90d457c35a61529,Family of four dies in car accident in Karnataka's Tumakuru,"Four members of a family, including a 13-year-old boy, have died after the car they were travelling in allegedly collided head-on with a speeding mini truck on the bypass near Kunigal in Tumakuru district, police said on Monday. The car was also speeding, and the impact of the accident was so severe that all four passengers in the car died on the spot(iStockphoto/Representational Image)  The deceased have been identified as Seebe Gowda (50), his",1
2f25b769765f85c4e24547159f9e5b80,"UP toddler dies in chickpeas pot, 2 yrs after sister fell, died in hot vessel","A toddler died after falling inside a hot kaddhai (vessel) in which chhole (chickpeas) was being cooked, two years after her sister's death in a similar incident. The incident took place in Uttar Pradesh's Sonbhadra district, after the 18-month-old girl's father kept a pot of chickpeas on the stove for boiling. The toddler, who was playing at the time, fell inside the vessel in which the chickpeas were being cooked.(Representative image)  Accordi",2
ee4b3adaeb1cc26335a8c47e271a4a50,Two people die in separate road accidents in Parel and Malad,"MUMBAI: Two people lost their lives in separate accidents in Parel and Malad on Friday. The tempo driver in the first incident and a car driver in the second were both booked for causing death by negligence. Two people die in separate road accidents in Parel and Malad  According to the police, the first accident took place on the Hindmata Bridge in Parel. Harsh Yadav, 21, a college student and resident of Hari Om Nagar in Powai, picked up his fri",1
9c4e8e22eeaff12de7c56b323f4ed6a6,"Gurugram man rams car into law student after dozing off while driving, held","A 31-year-old civil engineer based in Gurugram was arrested on Thursday for ramming his car into two people after he fell asleep while driving. The CCTV footage of the incident, which took place on June 24, has gone viral.(Video screengrab)  The accused, identified as Mohit, hit two friends with his car on the Delhi-Jaipur Highway, police told PTI news agency.  Know the latest trending news with HT. Read detailed articles here  While one of the f",1
114cfcfd96d8bc1420368d0de1c1d55e,"1 dead, 3 injured as sleepy driver rams car into trailer","NAVI MUMBAI: A 38-year-old died in an accident on Mumbai-Goa highway when the deceased’s friend, who was driving the car, was sleepy and rammed into a parked trailer. The driver has been booked for negligent and rash driving. 1 dead, 3 injured as sleepy driver rams car into trailer  According to the police, the incident occurred at 1:30 am on Tuesday on the Mumbai-Goa highway in Raigad district when the speeding car rammed into a trailer parked i",1
d546b39daeb032cb0a44e9cd4eec0804,"Tragedy in Malihabad:Teen dies in mishap, friend ends life hours later",": In a deeply tragic incident in Malihabad on Wednesday morning, two teenage friends lost their lives within hours of each other—one in an accident, the other, unable to cope with the loss, by suicide. Both bodies have been sent for post-mortem examination. As of now, no formal complaint has been lodged by the families (For representation only)  According to police, Manish Kumar (18) and Sagar (19), both residents of Sarawan village, were walking",3
